capacity,environment,survival,start,control,year,all_pairs,individual_paired_survivors,density_paired_positive,individual_access_grid4_minus_grid3,individual_access_mcse,individual_investment_grid4_minus_grid3,individual_investment_mcse,density_access_grid4_minus_grid3,density_access_mcse,density_investment_grid4_minus_grid3,density_investment_mcse,extinction_difference,extinction_difference_mcse
48,both,0.75,0.7,selected,40,16,16,16,-0.016644965277777472,0.008944397084856876,0.006901041666666743,0.008666706255381322,-2.674638414332242e-05,0.0008097921341255762,0.0011311535403238544,0.000964895060968811,0.0,0.0
48,both,0.75,0.7,selected,50,16,16,16,-0.017274305555555224,0.009057692823576281,0.020768229166666794,0.011451282322597735,-0.00022861169438038315,0.0007924520896226198,0.001969490624270605,0.0009895929889640993,0.0,0.0
48,both,0.75,0.7,selected,100,16,16,16,-0.018858506944444048,0.01317263818296769,0.026765703914141556,0.01763486450262756,-0.0010510366194672396,0.0007100708409960899,0.005799187806474343,0.000980810366450355,0.0,0.0
48,both,0.75,0.7,selected,200,16,16,16,-0.02411024305555512,0.012894992547529594,0.021809895833333478,0.019284676030847974,-0.0016382923354689785,0.0010512282821604413,0.010049390352647476,0.0011135157601688587,0.0,0.0
48,both,0.75,0.7,selected,400,16,16,16,-0.022916666666666183,0.014819516036482199,0.02708333333333348,0.017800007802744922,-0.0013112069609512098,0.0014763942251926078,0.008669142853469768,0.0008350508217793889,0.0,0.0
48,mainland,0.0,0.3,neutral,10,16,16,16,-0.005468749999999887,0.0055146697920529005,-0.00019531249999996808,0.0054656690275901795,-0.0006727430555555358,0.0007517372805460958,-0.001345486111111134,0.0008674042695649756,0.0,0.0
48,mainland,0.0,0.3,neutral,40,16,16,16,-0.0015624999999999372,0.011082274138913042,-0.007443576388889012,0.019279485064420235,-0.0006727430555555219,0.0007517372805460858,-0.0013454861111111133,0.0008674042695649759,0.0,0.0
48,mainland,0.0,0.3,neutral,50,16,16,16,0.004340277777777804,0.010388319840451129,0.0033420138888888805,0.018257360114724556,-0.0006727430555555254,0.0007517372805460851,-0.0013454861111111063,0.0008674042695649856,0.0,0.0
48,mainland,0.0,0.3,neutral,100,16,16,16,0.02358940972222228,0.012838909220426067,0.010438368055555619,0.019451146661090456,-0.0006727430555555046,0.0007517372805460875,-0.0013454861111110855,0.0008674042695649919,0.0,0.0
48,mainland,0.0,0.3,neutral,200,16,16,16,0.04396701388888887,0.018084186340030728,0.011154513888888981,0.022893833212094532,-0.0006727430555555254,0.0007517372805460851,-0.0013454861111111098,0.0008674042695649842,0.0,0.0
48,mainland,0.0,0.3,neutral,400,16,16,16,0.03958333333333332,0.018563891174954546,0.006467013888888852,0.026380566331221197,-0.0006727430555555532,0.0007517372805460881,-0.0013454861111111202,0.0008674042695649932,0.0,0.0
48,mainland,0.0,0.3,selected,10,16,16,16,0.014735243055555704,0.0071187590515897105,-0.005664062500000053,0.007656933571436031,-0.0022311049313524546,0.001224116813239069,-0.0032891342814672687,0.000791797346578414,0.0,0.0
48,mainland,0.0,0.3,selected,40,16,16,16,0.023719618055555676,0.011823274367702372,-0.006032986111111097,0.012230278468281773,-0.005273236197793962,0.0020609116109212866,-0.008361868597816714,0.0010669750513213935,0.0,0.0
48,mainland,0.0,0.3,selected,50,16,16,16,0.0253472222222223,0.012761263041973562,-0.004144965277777739,0.01352011390070506,-0.007675379792953078,0.004149230937385228,-0.00964276325395004,0.0010345335921429098,0.0,0.0
48,mainland,0.0,0.3,selected,100,16,16,16,0.012348090277777854,0.017331310324428664,-0.00269097222222214,0.0168536810683682,-0.007512983181062706,0.005974521743125275,-0.011279231914343074,0.0009847968549300014,0.0,0.0
48,mainland,0.0,0.3,selected,200,16,16,16,0.009331597222222276,0.017482442777919147,-0.002235243055555381,0.016893142276138456,-1.7592868527541855e-05,0.006602404369028778,-0.008593990920133937,0.0010254963211803131,0.0,0.0
48,mainland,0.0,0.3,selected,400,16,16,16,0.010416666666666706,0.017405498811837842,-0.002213541666666482,0.01758686768183068,-6.824032798472338e-05,0.005192840601080239,-0.0019097775050860022,0.0003561207249657196,0.0,0.0
